"","alphas.EW","alphas.L.MAX","alphas.M.MAX","alphas.H.MAX","alphas.HMAX.LMAX","alphas.VW","alphas.L.MAX.1","alphas.M.MAX.1","alphas.H.MAX.1","alphas.HMAX.LMAX.1"
"1","Size-Low","0.02 ***","0.02 ***","0.008 **","-0.012 **","Size-Low","0.019","0.029","0.022","0.003"
"2","","( 0 )","( 0 )","( 0.03 )","( 0.02 )","","( 0.51 )","( 0.14 )","( 0.18 )","( 0.91 )"
"3","Size-Med","0.006","0.012 ***","-0.004","-0.01 ***","Size-Med","-0.004","0.026 ***","0.021","0.026"
"4","","( 0.11 )","( 0.01 )","( 0.35 )","( 0.01 )","","( 0.83 )","( 0.01 )","( 0.25 )","( 0.67 )"
"5","Size-High","0.007 ***","0.007 **","0.004","-0.003","Size-High","0.003","0.022","0.001","-0.002"
"6","","( 0 )","( 0.04 )","( 0.23 )","( 0.36 )","","( 0.86 )","( 0.34 )","( 0.97 )","( 0.97 )"
"7","Size-AVE","0.011 ***","0.013 ***","0.003","-0.008 ***","Size-AVE","0.006","0.026 **","0.015","0.009"
"8","","( 0 )","( 0 )","( 0.32 )","( 0 )","","( 0.66 )","( 0.04 )","( 0.23 )","( 0.59 )"
"9","BM-Low","0.001","0.006","-0.003","-0.004","BM-Low","-0.008","0.034","0.029 *","0.037"
"10","","( 0.81 )","( 0.11 )","( 0.43 )","( 0.22 )","","( 0.7 )","( 0.12 )","( 0.09 )","( 0.15 )"
"11","BM-Med","0.01 ***","0.016 ***","0.007 **","-0.003","BM-Med","0.042 **","0.017","0.001","-0.041"
"12","","( 0 )","( 0 )","( 0.04 )","( 0.55 )","","( 0.02 )","( 0.58 )","( 0.94 )","( 0.13 )"
"13","BM-High","0.016 ***","0.014 ***","0.015 ***","-0.001","BM-High","0.019","0.018 *","-0.026","-0.045"
"14","","( 0 )","( 0 )","( 0 )","( 0.88 )","","( 0.2 )","( 0.09 )","( 0.42 )","( 0.26 )"
"15","BM-AVE","0.009 ***","0.012 ***","0.007 **","-0.002","BM-AVE","0.018 **","0.023 ***","0.001","-0.016"
"16","","( 0 )","( 0 )","( 0.02 )","( 0.46 )","","( 0.04 )","( 0.01 )","( 0.9 )","( 0.52 )"
"17","CP-Low","0.006","0.01 *","0.012 *","0.006","CP-Low","0.025","-0.004","0.015","-0.01"
"18","","( 0.19 )","( 0.1 )","( 0.08 )","( 0.37 )","","( 0.22 )","( 0.85 )","( 0.14 )","( 0.67 )"
"19","CP-Med","0","-0.001","0.001","0","CP-Med","0.013","-0.005","0.01","-0.003"
"20","","( 0.96 )","( 0.88 )","( 0.92 )","( 0.95 )","","( 0.64 )","( 0.76 )","( 0.58 )","( 0.92 )"
"21","CP-High","-0.002","-0.001","-0.012","-0.01","CP-High","0.017 **","0.023","-0.004","-0.021"
"22","","( 0.68 )","( 0.82 )","( 0.11 )","( 0.11 )","","( 0.04 )","( 0.37 )","( 0.89 )","( 0.21 )"
"23","CP-AVE","0.001","0.003","0","-0.001","CP-AVE","0.018 ***","0.005","0.007","-0.011"
"24","","( 0.77 )","( 0.65 )","( 0.96 )","( 0.73 )","","( 0.01 )","( 0.64 )","( 0.3 )","( 0.23 )"
"25","Rev-Low","0.007 ***","0.012 ***","0.005","-0.002","Rev-Low","0.017","0.03","0.046","0.028"
"26","","( 0.01 )","( 0 )","( 0.44 )","( 0.74 )","","( 0.49 )","( 0.17 )","( 0.31 )","( 0.72 )"
"27","Rev-Med","0.009 ***","0.013 ***","0.01 **","0","Rev-Med","0.016","0.012","-0.013","-0.029"
"28","","( 0 )","( 0 )","( 0.03 )","( 0.94 )","","( 0.36 )","( 0.12 )","( 0.42 )","( 0.32 )"
"29","Rev-High","0.01 **","0.009 ***","0.005","-0.005","Rev-High","0.017","0.038","0.008","-0.009"
"30","","( 0.02 )","( 0.01 )","( 0.2 )","( 0.31 )","","( 0.6 )","( 0.19 )","( 0.66 )","( 0.82 )"
"31","Rev-AVE","0.009 ***","0.011 ***","0.007 *","-0.002","Rev-AVE","0.017","0.026 **","0.014","-0.003"
"32","","( 0 )","( 0 )","( 0.08 )","( 0.55 )","","( 0.11 )","( 0.02 )","( 0.37 )","( 0.88 )"
"33","MOM-Low","0.009","0.01 **","0.004","-0.005","MOM-Low","0.01","-0.003","0.023","0.013"
"34","","( 0.12 )","( 0.03 )","( 0.49 )","( 0.32 )","","( 0.66 )","( 0.89 )","( 0.26 )","( 0.82 )"
"35","MOM-Med","0.001","0.003","0.009 **","0.008","MOM-Med","0.032","-0.008","0.015 ***","-0.017"
"36","","( 0.79 )","( 0.6 )","( 0.03 )","( 0.24 )","","( 0.11 )","( 0.75 )","( 0.01 )","( 0.56 )"
"37","MOM-High","0","0","-0.003","-0.003","MOM-High","0.014 ***","0.004","0.004","-0.01"
"38","","( 0.96 )","( 0.95 )","( 0.36 )","( 0.52 )","","( 0 )","( 0.84 )","( 0.84 )","( 0.53 )"
"39","MOM-AVE","0.004","0.004","0.003","0","MOM-AVE","0.019 ***","-0.002","0.014 *","-0.004"
"40","","( 0.38 )","( 0.38 )","( 0.42 )","( 0.94 )","","( 0 )","( 0.85 )","( 0.08 )","( 0.52 )"
"41","SSKEW-Low","0.005 *","0.008 **","-0.007 *","-0.013 ***","SSKEW-Low","-0.048","0.054","0.081 *","0.129"
"42","","( 0.09 )","( 0.04 )","( 0.06 )","( 0 )","","( 0.34 )","( 0.16 )","( 0.08 )","( 0.15 )"
"43","SSKEW-Med","0.011 ***","0.013 ***","0.008 **","-0.003","SSKEW-Med","0.002","-0.02","0.045","0.043"
"44","","( 0 )","( 0 )","( 0.04 )","( 0.3 )","","( 0.93 )","( 0.54 )","( 0.11 )","( 0.27 )"
"45","SSKEW-High","0.01 *","0.018 ***","0.003","-0.006","SSKEW-High","0.033","0.062 **","-0.01","-0.043"
"46","","( 0.06 )","( 0 )","( 0.25 )","( 0.25 )","","( 0.36 )","( 0.05 )","( 0.64 )","( 0.34 )"
"47","SSKEW-AVE","0.009 ***","0.013 ***","0.001","-0.007 ***","SSKEW-AVE","-0.004","0.032 ***","0.038 **","0.043"
"48","","( 0 )","( 0 )","( 0.62 )","( 0 )","","( 0.82 )","( 0 )","( 0.03 )","( 0.21 )"
"49","ISKEW-Low","0.005 **","0.013 ***","0.005","-0.001","ISKEW-Low","0.045 *","0.031","-0.009","-0.054"
"50","","( 0.02 )","( 0.01 )","( 0.41 )","( 0.93 )","","( 0.08 )","( 0.24 )","( 0.8 )","( 0.21 )"
"51","ISKEW-Med","0.009 ***","0.015 ***","0.004","-0.004","ISKEW-Med","0.006","0.021","-0.004","-0.01"
"52","","( 0 )","( 0 )","( 0.17 )","( 0.4 )","","( 0.28 )","( 0.11 )","( 0.87 )","( 0.8 )"
"53","ISKEW-High","0.014 ***","0.009 ***","0.012 ***","-0.002","ISKEW-High","-0.005","0.005","0.011","0.016"
"54","","( 0 )","( 0 )","( 0 )","( 0.61 )","","( 0.89 )","( 0.83 )","( 0.51 )","( 0.62 )"
"55","ISKEW-AVE","0.009 ***","0.012 ***","0.007","-0.002","ISKEW-AVE","0.016 ***","0.019 **","0","-0.016"
"56","","( 0 )","( 0 )","( 0.11 )","( 0.55 )","","( 0 )","( 0.05 )","( 0.98 )","( 0.32 )"
"57","ILLIQ-Low","0.006 **","0.009 **","0","-0.006 *","ILLIQ-Low","0.03 **","0.026","0.016","-0.013"
"58","","( 0.04 )","( 0.03 )","( 0.96 )","( 0.1 )","","( 0.05 )","( 0.19 )","( 0.32 )","( 0.21 )"
"59","ILLIQ-Med","0.01 ***","0.009 ***","0.007 *","-0.003","ILLIQ-Med","0.028","0.022 **","0.002","-0.026"
"60","","( 0 )","( 0.01 )","( 0.09 )","( 0.61 )","","( 0.39 )","( 0.04 )","( 0.95 )","( 0.59 )"
"61","ILLIQ-High","0.01 ***","0.016 ***","0.009 **","-0.001","ILLIQ-High","0.01","0.015","0.042","0.031"
"62","","( 0 )","( 0 )","( 0.02 )","( 0.89 )","","( 0.35 )","( 0.34 )","( 0.16 )","( 0.44 )"
"63","ILLIQ-AVE","0.009 ***","0.011 ***","0.005 *","-0.003","ILLIQ-AVE","0.023 **","0.021 **","0.02","-0.003"
"64","","( 0 )","( 0 )","( 0.08 )","( 0.27 )","","( 0.05 )","( 0.05 )","( 0.13 )","( 0.72 )"
"65","IV-Low","0.003","0.007","0.018 **","0.015 *","IV-Low","-0.021","0.133 ***","0.022","0.043"
"66","","( 0.42 )","( 0.13 )","( 0.02 )","( 0.07 )","","( 0.33 )","( 0 )","( 0.89 )","( 0.71 )"
"67","IV-Med","0.009 **","0.018 ***","0.017 ***","0.008","IV-Med","0.062","-0.095 ***","0.055","-0.007"
"68","","( 0.02 )","( 0 )","( 0.01 )","( 0.28 )","","( 0.33 )","( 0 )","( 0.33 )","( 0.93 )"
"69","IV-High","-0.026 *","0.009 **","0.009 *","0.034 **","IV-High","0.158","0.097 **","0.005","-0.154"
"70","","( 0.07 )","( 0.04 )","( 0.09 )","( 0.05 )","","( 0.24 )","( 0.04 )","( 0.87 )","( 0.27 )"
"71","IV-AVE","-0.005","0.011 ***","0.014 ***","0.019 ***","IV-AVE","0.067","0.045 ***","0.027","-0.039"
"72","","( 0.36 )","( 0 )","( 0 )","( 0.01 )","","( 0.26 )","( 0 )","( 0.44 )","( 0.6 )"
